Team,ATK,DEF,EFF,AGG,Overall,Goals/Match,Shots/Match,SoT/Match,Shot Acc%,Possession%,Pass Acc%,Conceded/Match,Opp SoT/Match,Corners/Match,Fouls/Match,Matches
Argentina,43.8,92.6,86.7,21.7,74.4,2.5,11.0,5.5,50.0,51.0,89.5,0,1.0,0.0,0,2
France,53.1,78.5,87.8,24.0,73.1,3.33,16.0,7.3,45.8,55.3,88.0,0.67,2.0,0.0,0,3
Germany,52.0,73.7,84.7,26.3,70.1,3.33,17.7,7.3,41.5,62.0,87.7,1.33,2.3,0.0,0,3
Netherlands,52.5,61.8,90.8,24.8,68.4,3.33,13.3,6.7,50.0,60.7,90.0,1.33,5.0,0.0,0,3
Portugal,43.9,82.2,76.6,29.7,67.6,3.0,12.0,5.0,41.7,70.5,91.0,0.5,2.0,0.0,0,2
Brazil,43.8,76.2,78.0,29.7,66.0,2.33,13.7,6.3,46.3,54.0,89.3,0.33,3.7,0.0,0,3
Switzerland,48.3,63.2,83.2,26.0,64.9,3.0,14.2,6.4,45.1,61.8,87.6,1.0,4.3,0.0,0,5
Norway,43.4,58.0,87.9,18.1,63.1,2.67,11.7,5.3,45.7,48.7,83.3,2.33,4.7,0.0,0,3
Canada,45.2,70.7,72.7,37.5,62.9,2.67,19.3,7.0,36.2,61.7,81.7,1.0,2.3,0.0,0,3
Mexico,34.1,86.1,68.5,24.8,62.9,2.0,11.7,4.3,37.1,50.0,85.7,0,1.7,0.0,0,3
USA,39.7,75.3,71.7,31.1,62.3,2.67,14.7,5.0,34.1,60.0,85.0,1.33,2.0,0.0,0,3
Colombia,39.5,85.9,60.4,33.9,61.9,2.0,17.5,6.5,37.1,62.5,86.5,0.5,1.5,0.0,0,2
Sweden,45.5,55.6,82.1,29.3,61.1,2.33,13.3,6.7,50.0,48.7,80.7,2.33,4.0,0.0,0,3
Japan,35.0,66.0,77.3,15.4,59.4,2.33,9.7,3.7,37.9,51.3,86.0,1.0,3.7,0.0,0,3
Belgium,37.5,77.2,59.3,41.1,58.0,2.0,24.3,6.7,27.4,59.3,86.7,0.67,2.7,0.0,0,3
Morocco,35.7,75.8,59.6,24.0,57.0,2.0,16.0,5.3,33.3,59.0,88.0,1.0,2.3,0.0,0,3
Senegal,42.7,53.3,74.8,27.2,56.9,2.67,16.7,6.0,36.0,58.0,87.3,2.0,5.3,0.0,0,3
Spain,32.3,90.7,45.8,29.4,56.2,1.67,18.3,5.3,29.1,69.3,91.0,0,1.0,0.0,0,3
England,40.0,69.0,58.0,31.3,55.7,2.0,20.5,7.0,34.1,65.5,89.5,1.0,3.0,0.0,0,2
Bosnia and Herzegovina,31.0,57.8,68.6,30.1,52.5,1.67,9.0,3.7,40.7,43.7,77.3,2.0,4.7,0.0,0,3
